game_id,season,week,date,kickoff_et,home_team,away_team,home_score,away_score,home_win,spread_close,total_close
2018_08_PHI_JAX,2018,8,2018-10-28,21:30,JAX,PHI,18,24,0,-4,44.5
2018_08_NE_BUF,2018,8,2018-10-29,20:15,BUF,NE,6,25,0,-13.5,44
2018_09_OAK_SF,2018,9,2018-11-01,20:20,SF,OAK,34,3,1,-1.5,44
2018_09_PIT_BAL,2018,9,2018-11-04,13:00,BAL,PIT,16,23,0,1.5,47
2018_09_CHI_BUF,2018,9,2018-11-04,13:00,BUF,CHI,9,41,0,-10.5,38
2018_09_TB_CAR,2018,9,2018-11-04,13:00,CAR,TB,42,28,1,6,55.5
2018_09_KC_CLE,2018,9,2018-11-04,13:00,CLE,KC,21,37,0,-7.5,51
2018_09_NYJ_MIA,2018,9,2018-11-04,13:00,MIA,NYJ,13,6,1,3,43.5
2018_09_DET_MIN,2018,9,2018-11-04,13:00,MIN,DET,24,9,1,4.5,47
2018_09_ATL_WAS,2018,9,2018-11-04,13:00,WAS,ATL,14,38,0,1.5,46.5
2018_09_HOU_DEN,2018,9,2018-11-04,16:05,DEN,HOU,17,19,0,1,46.5
2018_09_LAC_SEA,2018,9,2018-11-04,16:05,SEA,LAC,17,25,0,1,48.5
2018_09_LA_NO,2018,9,2018-11-04,16:25,NO,LA,45,35,1,-2.5,57.5
2018_09_GB_NE,2018,9,2018-11-04,20:20,NE,GB,31,17,1,5,56
2018_09_TEN_DAL,2018,9,2018-11-05,20:15,DAL,TEN,14,28,0,4.5,40
2018_10_CAR_PIT,2018,10,2018-11-08,20:20,PIT,CAR,52,21,1,3.5,51
2018_10_DET_CHI,2018,10,2018-11-11,13:00,CHI,DET,34,22,1,7.5,44.5
2018_10_NO_CIN,2018,10,2018-11-11,13:00,CIN,NO,14,51,0,-5.5,53
2018_10_ATL_CLE,2018,10,2018-11-11,13:00,CLE,ATL,28,16,1,-5.5,49.5
2018_10_JAX_IND,2018,10,2018-11-11,13:00,IND,JAX,29,26,1,3,48
2018_10_ARI_KC,2018,10,2018-11-11,13:00,KC,ARI,26,14,1,16.5,49.5
2018_10_BUF_NYJ,2018,10,2018-11-11,13:00,NYJ,BUF,10,41,0,6.5,38
2018_10_WAS_TB,2018,10,2018-11-11,13:00,TB,WAS,3,16,0,3.5,51
2018_10_NE_TEN,2018,10,2018-11-11,13:00,TEN,NE,34,10,1,-6,47
2018_10_LAC_OAK,2018,10,2018-11-11,16:05,OAK,LAC,6,20,0,-10.5,50
2018_10_MIA_GB,2018,10,2018-11-11,16:25,GB,MIA,31,12,1,13,48.5
2018_10_SEA_LA,2018,10,2018-11-11,16:25,LA,SEA,36,31,1,10,51
2018_10_DAL_PHI,2018,10,2018-11-11,20:20,PHI,DAL,20,27,0,7.5,45.5
2018_10_NYG_SF,2018,10,2018-11-12,20:15,SF,NYG,23,27,0,3,45
2018_11_GB_SEA,2018,11,2018-11-15,20:20,SEA,GB,27,24,1,3,49
2018_11_DAL_ATL,2018,11,2018-11-18,13:00,ATL,DAL,19,22,0,3.5,50
2018_11_CIN_BAL,2018,11,2018-11-18,13:00,BAL,CIN,24,21,1,6.5,44
2018_11_CAR_DET,2018,11,2018-11-18,13:00,DET,CAR,20,19,1,-4,48
2018_11_TEN_IND,2018,11,2018-11-18,13:00,IND,TEN,38,10,1,2,50
2018_11_PIT_JAX,2018,11,2018-11-18,13:00,JAX,PIT,16,20,0,-4,47
2018_11_TB_NYG,2018,11,2018-11-18,13:00,NYG,TB,38,35,1,3,54.5
2018_11_HOU_WAS,2018,11,2018-11-18,13:00,WAS,HOU,21,23,0,-3,40.5
2018_11_OAK_ARI,2018,11,2018-11-18,16:05,ARI,OAK,21,23,0,4.5,41
